parent_message_id,message_id,user_display,content,yyyymmdd,ts,thread_ts,reply_count,is_parent
1759397403.927079,1759397403.927079,yudai tonoyama,@yudai tonoyamaさんがチャンネルに参加しました,20251002,1759397403.927079,,0,True
1759398497.794479,1759398497.794479,yhorita,@yhoritaさんがチャンネルに参加しました,20251002,1759398497.794479,,0,True
1759399651.126629,1759399651.126629,Takuto Nariura,@Takuto Nariuraさんがチャンネルに参加しました,20251002,1759399651.126629,,0,True
c3a773a0-9a26-467c-be8c-5777ee585cd9,c3a773a0-9a26-467c-be8c-5777ee585cd9,Takuto Nariura,https://ghe.corp.yahoo.co.jp/ytonoyam/uniqorn/pull/38,20251002,1759399653.610699,,0,True
957e574f-d16f-4117-90b2-10c8ce77bcf4,957e574f-d16f-4117-90b2-10c8ce77bcf4,Takuto Nariura,"↑とりあえずこんな感じで、動的にワークフローを作れるというネタを作った。
まずはシングルで作ると良いんじゃないかしら with adk",20251002,1759399703.760339,1759399703.760339,2,True
957e574f-d16f-4117-90b2-10c8ce77bcf4,487abec6-8e1c-4d61-b296-a234aa958c70,Takuto Nariura,"TODOに分けてから、AgentにそれぞれのTODOのinstruct を書かせて自己生成するという感じ。

これを拡張するなら
• データは tool を入れてAPIやWeb検索を可能にする。GraphRAGも結合したい
• 出力形式は output_schema で固定して streaming 側で type をみてコンポーネントを決定
• 最初のTODOの時点で既存のAgent定義を検索して、最初からあるAgent を設定しておいてもらう - ユーザが自分で設定
みたいなところから着手すると良い気がした",20251002,1759399795.115869,1759399703.760339,0,False
957e574f-d16f-4117-90b2-10c8ce77bcf4,3c88576f-51b6-49b2-abb0-be1de65ede1c,Takuto Nariura,"細かい実装テクニックはMyTips か何かに書きます
（AI Agent について部署還元を求められているので）",20251002,1759400280.772379,1759399703.760339,0,False
1759400384.452169,1759400384.452169,ykira,@ykiraさんがチャンネルに参加しました,20251002,1759400384.452169,,0,True
1759402486.753419,1759402486.753419,konagata,@konagataさんがチャンネルに参加しました,20251002,1759402486.753419,,0,True
1759407539.390099,1759407539.390099,Tatsuya Arisawa,@Tatsuya Arisawaさんがチャンネルに参加しました,20251002,1759407539.390099,,0,True
1759413415.935269,1759413415.935269,sawaki oku,@sawaki okuさんがチャンネルに参加しました,20251002,1759413415.935269,,0,True
1759413416.000419,1759413416.000419,shokichi takakura,@shokichi takakuraさんがチャンネルに参加しました,20251002,1759413416.000419,,0,True
1759413416.057009,1759413416.057009,Yusuke Sano,@Yusuke Sanoさんがチャンネルに参加しました,20251002,1759413416.057009,,0,True
1759413416.123089,1759413416.123089,Aoi Sato,@Aoi Satoさんがチャンネルに参加しました,20251002,1759413416.123089,,0,True
1759413416.188379,1759413416.188379,issei matsumoto,@issei matsumotoさんがチャンネルに参加しました,20251002,1759413416.188379,,0,True
92b6ae18-fe59-41bf-a96a-88cce37221c4,92b6ae18-fe59-41bf-a96a-88cce37221c4,yudai tonoyama,"【GraphRAGでちょっと遊びたい話】
GraphRAG、エンティティの生成工程でトピック抽出される構造なので、トピック毎に構造化された文章データも生成できるようです
トピック毎に構造化された文章データを出力できれば人間が見て、「これはあってる」「これは違う」というのを判断できるので、明日、明後日で構造化された文章データにできるか試してみようと思ってます",20251003,1759478134.574259,,0,True
a1f8982b-2a47-45b8-a916-dbb094ec9733,a1f8982b-2a47-45b8-a916-dbb094ec9733,yudai tonoyama,今月のデモ作成としてはやらなくても良いんですが、こういうのが後々役立つこともあるのでちょっとやらせてください,20251003,1759478219.486939,1759478219.486939,2,True
