parent_message_id,message_id,user_display,content,yyyymmdd,ts,thread_ts,reply_count,is_parent
1759397403.927079,1759397403.927079,yudai tonoyama,We'll proceed with the calendar URL as is.,20251002,1759397403.927079,,0,True
1759398497.794479,1759398497.794479,yhorita,Does graphrag refer to a specific library? Or is it a general concept?,20251002,1759398497.794479,,0,True
1759399651.126629,1759399651.126629,Takuto Nariura,"It probably comes from MicroSoft's GraphRAG at first, but now it generally refers to all efforts to improve RAG accuracy with knowledge graphs.",20251002,1759399651.126629,,0,True
c3a773a0-9a26-467c-be8c-5777ee585cd9,c3a773a0-9a26-467c-be8c-5777ee585cd9,Takuto Nariura,https://ghe.corp.yahoo.co.jp/ytonoyam/uniqorn/pull/38,20251002,1759399653.610699,,0,True
957e574f-d16f-4117-90b2-10c8ce77bcf4,957e574f-d16f-4117-90b2-10c8ce77bcf4,Takuto Nariura,Are we using Microsoft's version?,20251002,1759399703.760339,1759399703.760339,2,True
957e574f-d16f-4117-90b2-10c8ce77bcf4,487abec6-8e1c-4d61-b296-a234aa958c70,Takuto Nariura,I'm sorry! Thank you! :man-bowing:,20251002,1759399795.115869,1759399703.760339,0,False
957e574f-d16f-4117-90b2-10c8ce77bcf4,3c88576f-51b6-49b2-abb0-be1de65ede1c,Takuto Nariura,We should hold this meeting on Zoom and check if the Webhook comes through.,20251002,1759400280.772379,1759399703.760339,0,False
1759400384.452169,1759400384.452169,ykira,"I'm running late, sorry.",20251002,1759400384.452169,,0,True
1759402486.753419,1759402486.753419,konagata,I need the database design.,20251002,1759402486.753419,,0,True
1759407539.390099,1759407539.390099,Tatsuya Arisawa,Is it the JSON of the conversation data?,20251002,1759407539.390099,,0,True
1759413415.935269,1759413415.935269,sawaki oku,"This time, I think it's a graph DB, so it might be a bit special. We're using the OSS graph DB ""Kuzu.""",20251002,1759413415.935269,,0,True
1759413416.000419,1759413416.000419,shokichi takakura,~Distinguishing between GraphRAG and Graphiti~,20251002,1759413416.000419,,0,True
1759413416.057009,1759413416.057009,Yusuke Sano,"*# Current Status*
We were able to graph text using Graphiti.  
*# Issues*
I want to make it clear which nodes and edges to retrieve when responding to users.  
*# Positive Points*
If we can retrieve nodes and edges, users will be able to edit the graph.",20251002,1759413416.057009,,0,True
1759413416.123089,1759413416.123089,Aoi Sato,We should hold this meeting on Zoom and check if the Webhook comes through.,20251002,1759413416.123089,,0,True
1759413416.188379,1759413416.188379,issei matsumoto,"From next time, we'll hold the meeting on Zoom.",20251002,1759413416.188379,,0,True
92b6ae18-fe59-41bf-a96a-88cce37221c4,92b6ae18-fe59-41bf-a96a-88cce37221c4,yudai tonoyama,Is my connection bad?,20251003,1759478134.574259,,0,True
a1f8982b-2a47-45b8-a916-dbb094ec9733,a1f8982b-2a47-45b8-a916-dbb094ec9733,yudai tonoyama,It seems like they can't hear us.,20251003,1759478219.486939,1759478219.486939,2,True
a1f8982b-2a47-45b8-a916-dbb094ec9733,64f3f81a-ced5-47b7-8731-f716701c9a32,yudai tonoyama,It seems like they can't hear my voice again...,20251003,1759508675.684019,1759478219.486939,0,False
a1f8982b-2a47-45b8-a916-dbb094ec9733,fa24c73b-5b76-4ffe-97ab-58fb1f103a50,yudai tonoyama,I can hear @tonoyama.,20251003,1759508761.378729,1759478219.486939,0,False
bd493083-bcb5-422d-ba38-0ee8f6ddf513,bd493083-bcb5-422d-ba38-0ee8f6ddf513,yudai tonoyama,@tonoyama's speaker seems to be malfunctioning.,20251004,1759510449.980619,,0,True
68729c0a-c599-456b-b7ea-92ff59e85b92,68729c0a-c599-456b-b7ea-92ff59e85b92,yudai tonoyama,Was it the ear?,20251004,1759518322.641019,,0,True
